stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1005O00164C0,,Ponto Regulador: Castelo :: Linha 006,,-22.90883,-43.17477,,,0,,,,
1005O00189C0,,Anfilófio de Carvalho,,-22.90843,-43.17465,,,0,,,,
1005O00190C0,,Ancine,,-22.909323,-43.174306,,,0,,,,
1005O00202C0,,Ponto Final: Castelo :: Linha 2114,,-22.90441,-43.17505,,,0,,,,
1005O00211C0,,Professor Clementino Fraga,,-22.90859,-43.19501,,,0,,,,
1005O00090C0,,Marechal Floriano,,-22.90162,-43.18528,,,0,,,,
1005O00215C0,,Costa Barros,,-22.9148,-43.18904,,,0,,,,
1005O00222C0,,Irineu Marinho,,-22.90925,-43.1935,,,0,,,,
1005O00223C0,,Igreja de Sant'Ana,,-22.90773,-43.19399,,,0,,,,
1005O00224C0,,Frederico Silva,,-22.9078,-43.19226,,,0,,,,
1005O00225C0,,Moncorvo Filho,,-22.90958,-43.19173,,,0,,,,
1005O00226C0,,Grande Templo Israelita,,-22.91219,-43.19057,,,0,,,,
1005O00239C0,,Igreja de Santa Luzia,,-22.9099,-43.17266,,,0,,,,
1005O00243C0,,Castelo :: Linha 2110,,-22.90484,-43.17577,,,0,,,,
1005O00253C2,,Ponto Final: Castelo :: Linha 2111,,-22.90463,-43.17543,,,0,,,,
1005O00254C0,,Marrecas,,-22.9132,-43.17733,,,0,,,,
1005O00257C0,,CAIXA Cultural - BNDES,,-22.90873,-43.18033,,,0,,,,
1005O00258C0,,CAIXA Cultural - BNDES,,-22.9088,-43.18051,,,0,,,,
1005O00268T0,,Terminal Churchill,,-22.908913,-43.170618,,,1,,,,
1005O00360C2,,Ponto Final: Castelo :: Linha 306,,-22.90507,-43.17617,,,0,,,,
1005O00198C0,7M9B,"BRS 1,4: Buenos Aires",,-22.9044,-43.18332,,,0,,,,
1005O00197C0,7KKY,"BRS 2,3,5,I: Luis de Camões",,-22.905593,-43.182786,,,0,,,,
1005O00180C0,JG2L,"BRS 1,2,3,4,5,I: Uruguaiana",,-22.90664,-43.18006,,,0,,,,
1005O00181C0,JUCL,"BRS 1,2,3,4,5,I: Largo da Carioca",,-22.90649,-43.17764,,,0,,,,
1005O00231S0,QGWM,"BRS 4,I: Praça da República I",,-22.90864,-43.18772,,,0,,,,
1005O00238S0,2CZT,BRS 4: República do Paraguai,,-22.909,-43.17926,,,0,,,,
1005O00184C0,,Ponto Final: Castelo :: Ônibus Executivos (Linhas para a Ilha do Governador),,-22.90705,-43.17404,,,0,,,,
1005O00193S9,JB4M,"BRS 1,2: Alfândega",,-22.90242,-43.17877,,,0,,,,
1005O00194S9,J4Z7,"BRS 1,2: Sete de Setembro",,-22.90467,-43.17793,,,0,,,,
1005O00249S0,ZGNU,"BRS 1,2,3,4,5,I: Ouvidor",,-22.90266,-43.17553,,,0,,,,
1005O00241C0,,Terreirão do Samba,,-22.90795,-43.19572,,,0,,,,
1005O00267P0,,Terminal Churchill :: Plataforma Norte,,-22.908874,-43.170562,,,0,1005O00268T0,,,Norte
