route_id,trip_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id
O0108AAA0A,4b43778a-19fe-4b44-9ba3-9c1dfe540a81,U_REG,Jardim de Alah,108,1,tu4h
O0109AAA0A,a665b202-a64e-4edd-ad0c-3f8a523a225f,U_REG,Santo Cristo,109,0,zax1
O0110AAA0A,4acca9ce-82bb-4f71-8c59-ebcaebc94bde,U_REG,Leblon,110,0,8hfi
O0112AAA0A,a01c0629-c004-4e42-b6a6-424917fffd32,U_REG,Terminal Gentileza,112,1,O0112AAA0AVDU03
O0112AAV0A,aee30a43-0dc1-4e37-99f7-ab71700c579e,U_REG,Terminal Gentileza,SV112,1,8wo6
O0117AAA0A,b74f7e5b-ae64-435e-8a13-fa8bc12c28ae,U_REG,Central,117,1,7qih
O0133AAA0A,ad25590a-e282-4612-ad9f-d8523c3a57b1,U_REG,Largo do Machado,133,1,5a65e29a-25a0-49e4-a861-1601b80d5a7b
O0133AAN0A,d836192e-9abb-4563-bdc5-bb13e54ab1b4,U_REG,Largo do Machado,SN133,1,O0133AAA0AVDU02
O0157AAA0A,2938f8e8-ed56-4f28-8864-11dbf1e38a65,U_REG,Castelo,157,0,3tih
O0161AAA0A,3a332726-adab-421f-951d-3f18177bab2f,U_REG,Circular,161,0,hz72
O0163AAA0A,0828af63-1bdc-45e1-af16-f7159ea48d75,U_REG,Copacabana,163,0,446r
O0165AAA0A,cde4ae35-b12e-4f85-9909-8704dfc4d2c7,U_REG,Cosme Velho,165,0,s7v5
O0167AAA0A,4f35bb58-7370-43ee-b135-df279c1ac0aa,U_REG,Terminal Gentileza,167,1,d0rh
O0169AAA0A,42b5b142-b1ac-40d5-a7e4-af15370f6ea6,U_REG,General Osório,LECD110,0,vb4w
O0181AAA0A,0844401b-831c-4dd4-a439-21dc285c427e,U_REG,São Conrado,181,0,o4ff
O0201AAA0A,277fde24-cec0-4557-8b20-503b189d40d8,U_REG,Santa Alexandrina,201,1,9koq
O0202AAA0A,b068ca75-2480-4134-8312-39949ba0abba,U_REG,Rio Comprido,202,1,O0202AAA0AVDU02
O0209AAA0A,b4760500-ab41-424f-a545-64197bbbfb6e,U_REG,Caju,209,0,a151138c-e2db-4638-93e3-f4bfb0bd6db9
O0209AAN0A,bf4138cb-54a3-460d-9ab3-230b5e858b27,U_REG,Caju,SN209,0,jmn6
O0210AAA0A,4554a18d-28c5-41b8-9a2d-387ed8298fe0,U_REG,Caju,210,1,twhu
O0217AAA0A,7a730dd1-80ee-41b1-8172-039e897b07e3,U_REG,Andaraí,217,1,5icv
O0220AAA0A,ba3e39cc-255f-4fd7-95e6-9fc28967b18a,U_REG,Usina,220,1,t1t4
O0222AAA0A,b1e97cce-6177-468a-91a9-a79da9dc0217,U_REG,Vila Isabel,222,1,O0222AAA0AVRM01
O0229AAA0A,87ccebb0-f05d-48e1-9cee-d0622c90dd36,U_REG,Castelo,229,0,O0229AAA0AIDU02
O0232AAA0A,44bebe54-182a-4145-8d4c-5058d5ade329,U_REG,Castelo,232,0,9ptt
O0232AAN0A,cab1b2aa-fc2a-46bc-92b7-26a872270785,U_REG,Lins de Vasconcelos,SN232,1,O0232AAA0AVDU01
O0238AAA0A,21bd7c65-be6b-4ba8-900d-22a32cc0ca52,U_REG,Castelo,238,0,ptnt
O0238AAN0A,762761c6-8b06-47d5-84a3-2e6dd8cb1d59,U_REG,Água Santa,SN238,1,42ke
O0239AAA0A,7ce76c4f-7024-482f-af1f-ee84b3e66e8e,U_REG,Castelo,239,0,mcot
O0247AAA0A,d76722bb-1a5c-42ae-b7e1-f34df541a2bf,U_REG,Passeio,247,0,2dzj
O0249AAA0A,3b516dd2-045a-48c9-be01-8eed46761a7d,U_REG,Carioca,249,0,w0m5
O0254AAA0A,7459e215-6c21-47ca-b7da-701205eded87,U_REG,Candelária,254,0,egs0
O0265AAA0A,b7d1bd17-4a4f-4242-b38d-3372416a7a38,U_REG,Castelo,265,0,yq9b
O0265AAN0A,fa44763e-56ff-4737-b832-c094d95fc542,U_REG,Marechal Hermes,SN265,1,l8v6
O0265AAP0A,3db768cc-d320-4b8c-8845-5690936a5cd6,U_REG,Terminal Gentileza,SP265,0,7chn
O0275AAA0A,38294849-344e-4666-857a-3c407bdb3257,U_REG,Meier,275,1,no3u
O0277AAA0A,0da04d28-b977-4f1f-9e6f-6aa9a4d9449a,U_REG,Candelária,277,0,tpyl
O0292AAA0A,f52d6f00-a059-4960-a2a4-e8dc2e10706a,U_REG,Castelo,292,0,g91l
O0296AAA0A,07998f4a-bc48-477f-b622-453ac0260e78,U_REG,Castelo,296,0,owpb
O0298AAA0A,732d484b-2c15-4e3b-993b-f93ea9893c9d,U_REG,Castelo,298,0,u3rq
O0298AAN0A,c999c58d-b13c-493d-a0da-5279dc7db92c,U_REG,Castelo,SN298,0,O0298AAA0AIDU01
O0300AAA0A,37fa10b6-a335-41dc-802b-2b4afff8b975,U_REG,Candelária,300,0,6ph8
O0300AAR0A,941c97ed-adfd-417c-ac39-69fd44673468,U_REG,Candelária,SR300,0,O0300AAR0AIDU01
O0301AAA0A,6cfa898b-6813-47a6-a254-8294ec22f72a,U_REG,Terminal Alvorada,301,0,3lx5
O0302AAA0A,be05d207-de74-4728-b6d5-e3ccde130f96,U_REG,Terminal Alvorada,302,0,apjr
O0302AAN0A,22e122a2-b7c2-44dc-a411-a70dab34b7df,U_REG,Terminal Gentileza,SN302,1,ulor
O0306AAA0A,15731450-eb08-4a82-9f84-70b41199c40c,U_REG,Praça Seca,306,1,vhcw
O0309AAA0A,519e30ab-d19b-4edd-8f8c-9fb808773941,U_REG,Central,309,0,cq6q
