id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded
34653,"Morro do Borel, Tijuca, Rio de Janeiro - RJ, 20530-420, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,TIJUCA,,MORRO DO BOREL,-22.9395041000,-43.2515359000,"26/03/2020, 03:29:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34654,"Morro Final Feliz - Anchieta, Rio de Janeiro - RJ, 21655-590, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ANCHIETA,,MORRO DO FINAL FELIZ (COMPLEXO DO CHAPADAO),-22.8258590000,-43.3871950000,"26/03/2020, 04:00:00",true,true,N�o identificado,Operação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34662,"Morro do Cruz, Andaraí, Rio de Janeiro - RJ, 20510-340, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ANDARAI,,MORRO DO CRUZ,-22.9281120000,-43.2480624000,"26/03/2020, 04:20:00",true,true,N�o identificado,Operação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34664,"Jardim do Amanhã, Cidade de Deus, Rio de Janeiro - RJ, 22775-740, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CIDADE DE DEUS,,CIDADE DE DEUS,-22.9476070000,-43.3705030000,"26/03/2020, 07:02:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34666,"R. Lemos Brito - Quintino Bocaiuva, Rio de Janeiro - RJ, 21311, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,QUINTINO BOCAIUVA,,COMPLEXO DO 18,-22.8951206000,-43.3240181000,"26/03/2020, 16:02:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34667,"Jardim Leal, Duque de Caxias - RJ, 25265-008, Brasil",Sudeste,Rio de Janeiro,Duque de Caxias,OLAVO BILAC,JARDIM LEAL,,-22.7567650000,-43.3173933000,"26/03/2020, 16:43:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34670,"São João de Meriti, RJ, Brasil",Sudeste,Rio de Janeiro,São João de Meriti,NI,,,-22.7907664000,-43.3699364000,"26/03/2020, 20:59:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34686,"Vila Ipiranga - Fonseca, Niterói - RJ, 24130-209, Brasil",Sudeste,Rio de Janeiro,Niterói,FONSECA,,VILA IPIRANGA,-22.8788021000,-43.0921030000,"26/03/2020, 23:15:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34671,"R. Merendiba, Vila Cruzeiro, Complexo da Penha- Penha, Rio de Janeiro - RJ, 21070-730, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,OLARIA,,VILA CRUZEIRO (COMPLEXO DA PENHA),-22.8473846000,-43.2753560000,"27/03/2020, 01:01:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34679,"Favela Kelson's - Penha Circular, Rio de Janeiro - RJ, 21012-350, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PENHA CIRCULAR,,FAVELA DA KELSONS,-22.8238810000,-43.2747500000,"27/03/2020, 04:00:00",true,true,PM,Ação policial,,,false,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34674,"Jardim Olavo Bilac, Duque de Caxias - RJ, Brasil",Sudeste,Rio de Janeiro,Duque de Caxias,OLAVO BILAC,,,-22.7619547000,-43.3222618000,"27/03/2020, 04:12:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34680,"Jardim Olavo Bilac, Duque de Caxias - RJ, Brasil",Sudeste,Rio de Janeiro,Duque de Caxias,OLAVO BILAC,,,-22.7619547000,-43.3222618000,"27/03/2020, 07:52:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34687,"Ladeira dos Tabajaras - Botafogo, Rio de Janeiro - RJ, 22031-112, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BOTAFOGO,,LADEIRA DOS TABAJARAS,-22.9624316000,-43.1911300000,"27/03/2020, 08:00:00",true,true,PM,Operação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34709,"R. dos Tecelões - Bangu, Rio de Janeiro - RJ, 21820, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BANGU,,,-22.8786153000,-43.4707911000,"27/03/2020, 12:00:00",false,true,,Tentativa/Roubo,,,false,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34688,"Jardim Nova Era, Nova Iguaçu - RJ, 26266-080, Brasil",Sudeste,Rio de Janeiro,Nova Iguaçu,NOVA ERA,JARDIM NOVA ERA,,-22.7609809000,-43.4968589000,"27/03/2020, 13:24:00",true,true,PM,Ação policial,,,false,0,2,0,0,0,0,0,0,0,0,0,0,0,0
34689,"R. Ferreira Pontes - Grajau, Rio de Janeiro - RJ, 20541, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ANDARAI,,MORRO DO ANDARAI,-22.9318868000,-43.2586108000,"27/03/2020, 16:45:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34690,"Morro do Urubu, Piedade, Rio de Janeiro - RJ, 21381-400, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PIEDADE,,MORRO DO URUBU (COMPLEXO DO URUBU),-22.8760260000,-43.3055130000,"27/03/2020, 17:14:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34693,"Av. Dom Hélder Câmara - Benfica, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BENFICA,,,-22.8881559000,-43.2493334000,"27/03/2020, 17:26:00",true,true,UPP (Arar�/Mandela),Ação policial,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34691,"Morro do Andarai - Andaraí, Rio de Janeiro - RJ, 20531-490, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ANDARAI,,MORRO DO ANDARAI,-22.9352778000,-43.2563889000,"27/03/2020, 18:10:00",false,false,,Não identificado,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0
